Mask value ; Group I ; Group II ; Group III ; Group IV ; Group V ; Group VI ; Group VII ; Group VIII ; Group IX ; Group X ; Group XI ; Group XII ; Group XIII ;
001011|1|1|0 ; - ; - ; - ; 0.77 ; 4.68 ; - ; - ; 10.90 ; 1.90 ; 5.85 ; 2.22 ; 73.68 ; - ; 
001011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001011|1|2|0 ; - ; - ; - ; 0.78 ; - ; - ; - ; 11.51 ; 2.02 ; 6.19 ; 2.29 ; 77.21 ; - ; 
001011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001100|0|1|0 ; 34.60 ; 4.93 ; 11.35 ; 0.15 ; 1.47 ; 1.42 ; 5.46 ; 2.60 ; 0.61 ; 1.56 ; 0.71 ; 17.96 ; 17.19 ; 
001100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001100|0|2|0 ; - ; 9.28 ; - ; 0.29 ; - ; 2.86 ; 10.37 ; 4.93 ; 1.32 ; 2.95 ; 1.32 ; 33.98 ; 32.69 ; 
001100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001100|1|1|0 ; - ; 0.00 ; - ; 0.65 ; 5.79 ; - ; - ; 10.43 ; 2.77 ; 6.25 ; 2.77 ; 71.34 ; - ; 
001100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001100|1|2|0 ; - ; - ; - ; 0.75 ; - ; - ; - ; 11.10 ; 2.74 ; 6.59 ; 2.94 ; 75.88 ; - ; 
001100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001101|0|1|0 ; 29.72 ; 5.72 ; 13.43 ; 0.19 ; 2.14 ; 2.13 ; 6.27 ; 3.09 ; 1.10 ; 2.04 ; 1.05 ; 18.37 ; 14.75 ; 
001101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001101|0|2|0 ; - ; 10.39 ; - ; 0.33 ; - ; 3.87 ; 11.44 ; 5.61 ; 1.90 ; 3.68 ; 1.91 ; 33.36 ; 27.50 ; 
001101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001101|1|1|0 ; - ; - ; - ; 0.66 ; 7.76 ; - ; - ; 11.07 ; 3.91 ; 7.25 ; 3.75 ; 65.60 ; - ; 
001101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001101|1|2|0 ; - ; - ; - ; 0.70 ; - ; - ; - ; 11.98 ; 4.27 ; 7.87 ; 4.05 ; 71.12 ; - ; 
001101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001110|0|1|0 ; 23.21 ; 7.05 ; 16.81 ; 0.20 ; 3.27 ; 3.33 ; 7.95 ; 3.90 ; 1.99 ; 2.83 ; 1.61 ; 16.38 ; 11.46 ; 
001110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001110|0|2|0 ; - ; 12.41 ; - ; 0.36 ; - ; 5.91 ; 14.08 ; 6.95 ; 3.13 ; 5.00 ; 2.87 ; 29.07 ; 20.22 ; 
001110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001110|1|1|0 ; - ; - ; - ; 0.64 ; 11.04 ; - ; - ; 13.13 ; 5.74 ; 9.42 ; 5.38 ; 54.64 ; - ; 
001110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001110|1|2|0 ; - ; - ; - ; 0.77 ; - ; - ; - ; 14.54 ; 7.30 ; 10.58 ; 5.99 ; 60.83 ; - ; 
001110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001111|0|1|0 ; 10.71 ; 9.47 ; 22.90 ; 0.24 ; 5.30 ; 5.36 ; 11.19 ; 5.36 ; 3.54 ; 4.21 ; 2.63 ; 13.49 ; 5.60 ; 
001111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001111|0|2|0 ; - ; 15.64 ; - ; 0.43 ; - ; 8.90 ; 18.35 ; 8.85 ; 5.86 ; 6.94 ; 4.33 ; 21.99 ; 8.71 ; 
001111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001111|1|1|0 ; - ; - ; - ; 0.70 ; 15.54 ; - ; - ; 15.74 ; 9.73 ; 12.29 ; 7.58 ; 38.42 ; - ; 
001111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001111|1|2|0 ; - ; - ; - ; 0.92 ; - ; - ; - ; 18.12 ; 11.78 ; 14.26 ; 8.92 ; 46.00 ; - ; 
001111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010000|0|1|0 ; - ; 11.70 ; 28.44 ; 0.30 ; 7.62 ; 7.61 ; 14.26 ; 6.66 ; 5.75 ; 5.74 ; 3.77 ; 8.16 ; - ; 
010000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010000|0|2|0 ; - ; 18.25 ; - ; 0.42 ; - ; 12.01 ; 22.43 ; 10.48 ; 8.66 ; 9.02 ; 5.98 ; 12.76 ; - ; 
010000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010000|1|1|0 ; - ; - ; - ; 0.71 ; 20.38 ; - ; - ; 17.66 ; 14.28 ; 15.13 ; 10.12 ; 21.72 ; - ; 
010000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010000|1|2|0 ; - ; - ; - ; 0.96 ; - ; - ; - ; 22.03 ; 18.43 ; 18.86 ; 12.55 ; 27.18 ; - ; 
010000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010001|0|1|0 ; - ; 11.43 ; 28.60 ; 0.23 ; 8.75 ; 8.80 ; 14.70 ; 6.68 ; 7.17 ; 6.23 ; 4.36 ; 3.04 ; - ; 
010001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010001|0|2|0 ; - ; 18.36 ; - ; 0.43 ; - ; 13.85 ; 23.59 ; 10.80 ; 10.97 ; 9.97 ; 7.02 ; 5.00 ; - ; 
010001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010001|1|1|0 ; - ; - ; - ; 0.67 ; 24.09 ; - ; - ; 18.50 ; 19.57 ; 16.83 ; 11.98 ; 8.37 ; - ; 
010001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010001|1|2|0 ; - ; - ; - ; 0.90 ; - ; - ; - ; 24.23 ; 25.42 ; 22.54 ; 15.83 ; 11.08 ; - ; 
010001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010010|0|1|0 ; - ; 10.85 ; 27.66 ; 0.23 ; 9.63 ; 9.80 ; 14.76 ; 6.59 ; 8.30 ; 6.52 ; 4.82 ; 0.85 ; - ; 
010010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010010|0|2|0 ; - ; 17.79 ; - ; 0.37 ; - ; 15.04 ; 23.62 ; 10.50 ; 13.10 ; 10.51 ; 7.70 ; 1.37 ; - ; 
010010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010010|1|1|0 ; - ; - ; - ; 0.67 ; 26.67 ; - ; - ; 17.90 ; 21.39 ; 17.90 ; 13.15 ; 2.31 ; - ; 
010010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010010|1|2|0 ; - ; - ; - ; 0.85 ; - ; - ; - ; 24.08 ; 30.34 ; 24.05 ; 17.52 ; 3.16 ; - ; 
010010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010011|0|1|0 ; - ; 10.23 ; 26.24 ; 0.20 ; 10.42 ; 10.68 ; 14.42 ; 6.23 ; 9.53 ; 6.78 ; 5.16 ; 0.11 ; - ; 
010011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010011|0|2|0 ; - ; 16.26 ; - ; 0.33 ; - ; 16.75 ; 22.93 ; 9.87 ; 14.89 ; 10.67 ; 8.15 ; 0.16 ; - ; 
010011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010011|1|1|0 ; - ; - ; - ; 0.53 ; 27.16 ; - ; - ; 16.43 ; 24.34 ; 17.73 ; 13.53 ; 0.29 ; - ; 
010011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010011|1|2|0 ; - ; - ; - ; 0.71 ; - ; - ; - ; 22.67 ; 33.25 ; 24.38 ; 18.62 ; 0.38 ; - ; 
010011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010100|0|1|0 ; - ; 9.73 ; 24.97 ; 0.18 ; 11.01 ; 11.17 ; 14.15 ; 5.93 ; 10.42 ; 6.92 ; 5.51 ; 0.00 ; - ; 
010100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010100|0|2|0 ; - ; 15.32 ; - ; 0.26 ; - ; 17.13 ; 22.19 ; 9.33 ; 16.25 ; 10.87 ; 8.65 ; 0.00 ; - ; 
010100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010100|1|1|0 ; - ; 0.00 ; - ; 0.40 ; 27.19 ; - ; - ; 14.94 ; 26.58 ; 17.23 ; 13.66 ; 0.00 ; - ; 
010100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010100|1|2|0 ; - ; - ; - ; 0.61 ; - ; - ; - ; 20.27 ; 37.01 ; 23.48 ; 18.63 ; 0.00 ; - ; 
010100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|0|1|0 ; - ; 9.23 ; 23.89 ; 0.16 ; 11.48 ; 11.88 ; 13.25 ; 5.70 ; 11.45 ; 7.10 ; 5.86 ; - ; - ; 
010101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|0|2|0 ; - ; 14.49 ; - ; 0.23 ; - ; 18.40 ; 20.61 ; 8.88 ; 17.34 ; 10.97 ; 9.08 ; - ; - ; 
010101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|1|1|0 ; - ; - ; - ; 0.36 ; 27.62 ; - ; - ; 13.48 ; 28.08 ; 16.75 ; 13.70 ; - ; - ; 
010101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010101|1|2|0 ; - ; - ; - ; 0.49 ; - ; - ; - ; 18.98 ; 37.39 ; 23.63 ; 19.51 ; - ; - ; 
010101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|0|1|0 ; - ; 8.63 ; 22.68 ; 0.15 ; 12.22 ; 12.70 ; 12.38 ; 5.49 ; 12.22 ; 7.34 ; 6.19 ; - ; - ; 
010110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|0|2|0 ; - ; 13.55 ; - ; 0.24 ; - ; 19.11 ; 19.13 ; 8.48 ; 18.64 ; 11.34 ; 9.51 ; - ; - ; 
010110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|1|1|0 ; - ; - ; - ; 0.32 ; 28.41 ; - ; - ; 12.60 ; 27.46 ; 16.95 ; 14.26 ; - ; - ; 
010110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010110|1|2|0 ; - ; - ; - ; 0.42 ; - ; - ; - ; 17.38 ; 39.20 ; 23.42 ; 19.59 ; - ; - ; 
010110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|0|1|0 ; - ; 8.37 ; 21.93 ; 0.13 ; 12.89 ; 12.85 ; 11.45 ; 5.21 ; 13.13 ; 7.53 ; 6.51 ; - ; - ; 
010111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|0|2|0 ; - ; 12.95 ; - ; 0.20 ; - ; 20.14 ; 17.46 ; 8.00 ; 19.79 ; 11.56 ; 9.90 ; - ; - ; 
010111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|1|1|0 ; - ; - ; - ; 0.30 ; 28.33 ; - ; - ; 11.49 ; 29.10 ; 16.52 ; 14.26 ; - ; - ; 
010111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
010111|1|2|0 ; - ; - ; - ; 0.40 ; - ; - ; - ; 16.09 ; 40.39 ; 23.16 ; 19.96 ; - ; - ; 
010111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|0|1|0 ; - ; 8.07 ; 20.86 ; 0.11 ; 13.64 ; 13.49 ; 10.65 ; 5.03 ; 13.42 ; 7.84 ; 6.90 ; - ; - ; 
011000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|0|2|0 ; - ; 12.12 ; - ; 0.17 ; - ; 21.21 ; 16.31 ; 7.70 ; 20.11 ; 11.95 ; 10.44 ; - ; - ; 
011000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|1|1|0 ; - ; - ; - ; 0.26 ; 29.12 ; - ; - ; 10.84 ; 28.32 ; 16.79 ; 14.67 ; - ; - ; 
011000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
011000|1|2|0 ; - ; - ; - ; 0.34 ; - ; - ; - ; 15.26 ; 40.21 ; 23.42 ; 20.77 ; - ; - ; 
011000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
